Temperature_K,Porosity,Pressure_MPa,Solid_flux_cmyr,liquid_flux_cmyr,position_km
1500,0.00883626862591824,-40.1614976300724,1.63052454166021e-16,-1.63052454166021e-16,699.859929964983
1500,0.00883626862591824,-39.9532491222299,-0.0031176625104404,0.0031176625104404,700.140070035018
1500,0.00888250080383794,-39.7489882985214,-0.00623312210458627,0.00623312210458627,700.420210105053
1500,0.00892832645401266,-39.5485943224132,-0.00934637866394418,0.00934637866394418,700.700350175088
1500,0.00897375357404829,-39.3519469196604,-0.0124574321663422,0.0124574321663422,700.980490245123
1500,0.00901878991307048,-39.1589309777432,-0.0155662826820489,0.0155662826820489,701.260630315158
1500,0.00906344298227588,-38.9694362649223,-0.0186729303699779,0.0186729303699779,701.540770385193
1500,0.00910772006493848,-38.7833571677437,-0.0217773754741027,0.0217773754741027,701.820910455228
1500,0.00915162822583765,-38.6005924455796,-0.0248796183201347,0.0248796183201347,702.101050525263
1500,0.00919517432024643,-38.4210450009123,-0.0279796593122181,0.0279796593122181,702.381190595298
1500,0.00923836500240457,-38.2446216641852,-0.031077498929921,0.031077498929921,702.661330665333
1500,0.0092812067335887,-38.0712329921399,-0.0341731377252685,0.0341731377252685,702.941470735368
1500,0.00932370578977235,-37.9007930786529,-0.0372665763200089,0.0372665763200089,703.221610805403
1500,0.00936586826884722,-37.7332193771679,-0.0403578154028879,0.0403578154028879,703.501750875438
1500,0.00940770009759617,-37.5684325338914,-0.0434468557271724,0.0434468557271724,703.781890945473
1500,0.00944920703818605,-37.4063562309918,-0.0465336981082314,0.0465336981082314,704.062031015508
1500,0.00949039469445994,-37.246917039099,-0.0496183434211571,0.0496183434211571,704.342171085543
1500,0.00953126851789041,-37.0900442784609,-0.0527007925986665,0.0527007925986665,704.622311155578
1500,0.00957183381318295,-36.9356698881633,-0.0557810466288869,0.0557810466288869,704.902451225613
1500,0.00961209574376334,-36.7837283028646,-0.0588591065534139,0.0588591065534139,705.182591295648
1500,0.00965205933682174,-36.6341563365427,-0.0619349734653412,0.0619349734653412,705.462731365683
1500,0.00969172948829651,-36.486893072785,-0.0650086485074241,0.0650086485074241,705.742871435718
1500,0.00973111096755315,-36.3418797611936,-0.0680801328703169,0.0680801328703169,706.023011505753
1500,0.00977020842177999,-36.1990597195057,-0.0711494277908653,0.0711494277908653,706.303151575788
1500,0.00980902638037939,-36.0583782410603,-0.0742165345504652,0.0742165345504652,706.583291645823
1500,0.00984756925892096,-35.9197825072714,-0.0772814544735706,0.0772814544735706,706.863431715858
1500,0.00988584136319013,-35.7832215047882,-0.0803441889260957,0.0803441889260957,707.143571785893
1500,0.00992384689276368,-35.6486459470513,-0.0834047393140726,0.0834047393140726,707.423711855928
1500,0.00996158994471209,-35.5160081999713,-0.0864631070822266,0.0864631070822266,707.703851925963
1500,0.00999907451696106,-35.3852622114743,-0.0895192937126543,0.0895192937126543,707.983991995998
1500,0.0100363045115649,-35.2563634446828,-0.0925733007235504,0.0925733007235504,708.264132066033
1500,0.0100732837378673,-35.1292688145089,-0.0956251296680311,0.0956251296680311,708.544272136068
1500,0.0101100159154974,-35.0039366274577,-0.0986747821328596,0.0986747821328596,708.824412206103
1500,0.0101465046772656,-34.8803265244507,-0.101722259737425,0.101722259737425,709.104552276138
1500,0.0101827535719078,-34.7583994264912,-0.104767564132584,0.104767564132584,709.384692346173
1500,0.010218766066785,-34.6381174830068,-0.107810696999631,0.107810696999631,709.664832416208
1500,0.0102545455503731,-34.5194440227144,-0.110851660049277,0.110851660049277,709.944972486243
1500,0.0102900953347641,-34.4023435068638,-0.11389045502075,0.11389045502075,710.225112556278
1500,0.0103254186580034,-34.2867814847248,-0.116927083680721,0.116927083680721,710.505252626313
1500,0.0103605186863221,-34.1727245511919,-0.119961547822538,0.119961547822538,710.785392696348
1500,0.0103953985163376,-34.0601403063892,-0.12299384926525,0.12299384926525,711.065532766383
1500,0.0104300611771795,-33.9489973171627,-0.126023989852879,0.126023989852879,711.345672836418
1500,0.0104645096324048,-33.8392650803603,-0.129051971453485,0.129051971453485,711.625812906453
1500,0.0104987467820083,-33.7309139878004,-0.132077795958479,0.132077795958479,711.905952976488
1500,0.0105327754642681,-33.6239152928366,-0.135101465281828,0.135101465281828,712.186093046523
1500,0.0105665984575378,-33.5182410784365,-0.13812298135932,0.13812298135932,712.466233116558
1500,0.0106002184819499,-33.4138642266925,-0.141142346147907,0.141142346147907,712.746373186593
1500,0.0106336382011306,-33.3107583896886,-0.14415956162494,0.14415956162494,713.026513256628
1500,0.0106668602237319,-33.208897961655,-0.147174629787636,0.147174629787636,713.306653326663
1500,0.0106998871050698,-33.1082580523412,-0.15018755265229,0.15018755265229,713.586793396698
1500,0.0107327213485176,-33.0088144615467,-0.153198332253799,0.153198332253799,713.866933466733
1500,0.0107653654070261,-32.9105436547503,-0.156206970645004,0.156206970645004,714.147073536768
1500,0.0107978216844445,-32.8134227397813,-0.159213469896084,0.159213469896084,714.427213606803
1500,0.0108300925369329,-32.7174294444817,-0.162217832094076,0.162217832094076,714.707353676838
1500,0.0108621802741823,-32.6225420953094,-0.165220059342301,0.165220059342301,714.987493746873
1500,0.0108940871607027,-32.5287395968364,-0.168220153759811,0.168220153759811,715.267633816908
1500,0.0109258154170419,-32.4360014120973,-0.171218117480927,0.171218117480927,715.547773886943
1500,0.0109573672208899,-32.3443075437478,-0.174213952654748,0.174213952654748,715.827913956978
1500,0.010988744708326,-32.2536385159928,-0.177207661444669,0.177207661444669,716.108054027014
