Temperature_K,Porosity,Pressure_MPa,Solid_flux_cmyr,liquid_flux_cmyr,position_km
1500,0.00883626862591195,-40.1614976301179,-8.69613088883587e-16,8.69613088883587e-16,699.859929964983
1500,0.00883626862591195,-39.9532491222754,-0.00311766251043992,0.00311766251043992,700.140070035018
1500,0.00888250080383074,-39.7489882985669,-0.00623312210459094,0.00623312210459094,700.420210105053
1500,0.00892832645400726,-39.5485943224587,-0.00934637866394531,0.00934637866394531,700.700350175088
1500,0.0089737535740429,-39.351946919706,-0.0124574321663461,0.0124574321663461,700.980490245123
1500,0.00901878991306329,-39.1589309777888,-0.0155662826820587,0.0155662826820587,701.260630315158
1500,0.00906344298227049,-38.9694362649679,-0.0186729303699867,0.0186729303699867,701.540770385193
1500,0.00910772006493489,-38.7833571677894,-0.0217773754741169,0.0217773754741169,701.820910455228
1500,0.00915162822583315,-38.6005924456253,-0.0248796183201451,0.0248796183201451,702.101050525263
1500,0.00919517432023653,-38.4210450009581,-0.0279796593122336,0.0279796593122336,702.381190595298
1500,0.00923836500239558,-38.2446216642311,-0.0310774989299377,0.0310774989299377,702.661330665333
1500,0.0092812067335896,-38.0712329921859,-0.0341731377252873,0.0341731377252873,702.941470735368
1500,0.00932370578976426,-37.900793078699,-0.0372665763200273,0.0372665763200273,703.221610805403
1500,0.00936586826884632,-37.733219377214,-0.0403578154029059,0.0403578154029059,703.501750875438
1500,0.00940770009758538,-37.5684325339377,-0.0434468557271955,0.0434468557271955,703.781890945473
1500,0.00944920703818065,-37.4063562310382,-0.0465336981082536,0.0465336981082536,704.062031015508
1500,0.00949039469445724,-37.2469170391455,-0.0496183434211905,0.0496183434211905,704.342171085543
1500,0.00953126851788502,-37.0900442785075,-0.0527007925986982,0.0527007925986982,704.622311155578
1500,0.00957183381318205,-36.9356698882099,-0.0557810466289177,0.0557810466289177,704.902451225613
1500,0.00961209574374985,-36.7837283029115,-0.0588591065534499,0.0588591065534499,705.182591295648
1500,0.00965205933682354,-36.6341563365896,-0.0619349734653747,0.0619349734653747,705.462731365683
1500,0.00969172948829291,-36.486893072832,-0.0650086485074693,0.0650086485074693,705.742871435718
1500,0.00973111096754146,-36.3418797612408,-0.0680801328703578,0.0680801328703578,706.023011505753
1500,0.00977020842177999,-36.199059719553,-0.0711494277909106,0.0711494277909106,706.303151575788
1500,0.00980902638036141,-36.0583782411079,-0.0742165345505099,0.0742165345505099,706.583291645823
1500,0.00984756925892276,-35.9197825073192,-0.077281454473615,0.077281454473615,706.863431715858
1500,0.00988584136318293,-35.783221504836,-0.0803441889261497,0.0803441889261497,707.143571785893
1500,0.00992384689275289,-35.6486459470995,-0.0834047393141221,0.0834047393141221,707.423711855928
1500,0.00996158994471119,-35.5160082000196,-0.0864631070822845,0.0864631070822845,707.703851925963
1500,0.00999907451695477,-35.3852622115228,-0.0895192937127075,0.0895192937127075,707.983991995998
1500,0.0100363045115541,-35.2563634447315,-0.0925733007236119,0.0925733007236119,708.264132066033
1500,0.0100732837378619,-35.1292688145578,-0.0956251296680947,0.0956251296680947,708.544272136068
1500,0.0101100159154893,-35.0039366275068,-0.0986747821329216,0.0986747821329216,708.824412206103
1500,0.010146504677262,-34.8803265245,-0.10172225973749,0.10172225973749,709.104552276138
1500,0.0101827535719051,-34.7583994265407,-0.104767564132655,0.104767564132655,709.384692346173
1500,0.0102187660667769,-34.6381174830565,-0.107810696999695,0.107810696999695,709.664832416208
1500,0.0102545455503668,-34.5194440227643,-0.110851660049357,0.110851660049357,709.944972486243
1500,0.0102900953347668,-34.4023435069138,-0.113890455020825,0.113890455020825,710.225112556278
1500,0.0103254186579899,-34.286781484775,-0.116927083680806,0.116927083680806,710.505252626313
1500,0.010360518686314,-34.1727245512425,-0.119961547822611,0.119961547822611,710.785392696348
1500,0.0103953985163412,-34.0601403064399,-0.122993849265345,0.122993849265345,711.065532766383
1500,0.0104300611771741,-33.9489973172135,-0.126023989852962,0.126023989852962,711.345672836418
1500,0.0104645096323976,-33.8392650804114,-0.129051971453582,0.129051971453582,711.625812906453
1500,0.0104987467819993,-33.7309139878517,-0.132077795958578,0.132077795958578,711.905952976488
1500,0.0105327754642636,-33.6239152928882,-0.135101465281923,0.135101465281923,712.186093046523
1500,0.0105665984575306,-33.5182410784884,-0.13812298135942,0.13812298135942,712.466233116558
1500,0.0106002184819472,-33.4138642267446,-0.141142346148004,0.141142346148004,712.746373186593
1500,0.0106336382011189,-33.310758389741,-0.144159561625053,0.144159561625053,713.026513256628
1500,0.0106668602237301,-33.2088979617076,-0.14717462978775,0.14717462978775,713.306653326663
1500,0.0106998871050653,-33.108258052394,-0.1501875526524,0.1501875526524,713.586793396698
1500,0.0107327213485095,-33.0088144615998,-0.153198332253927,0.153198332253927,713.866933466733
1500,0.0107653654070099,-32.9105436548039,-0.156206970645112,0.156206970645112,714.147073536768
1500,0.0107978216844463,-32.8134227398351,-0.159213469896207,0.159213469896207,714.427213606803
1500,0.0108300925369275,-32.7174294445357,-0.162217832094212,0.162217832094212,714.707353676838
1500,0.0108621802741751,-32.6225420953637,-0.165220059342427,0.165220059342427,714.987493746873
1500,0.0108940871606964,-32.528739596891,-0.168220153759946,0.168220153759946,715.267633816908
1500,0.0109258154170311,-32.4360014121523,-0.171218117481061,0.171218117481061,715.547773886943
1500,0.010957367220889,-32.344307543803,-0.174213952654893,0.174213952654893,715.827913956978
1500,0.0109887447083162,-32.2536385160483,-0.177207661444802,0.177207661444802,716.108054027014
